date, pm25
2022/5/8, 32
2022/5/9, 30
2022/5/10, 55
2022/5/11, 70
2022/5/12, 61
2022/5/13, 32
2022/5/14, 40
2022/5/15, 34
2022/5/16, 26
2022/5/17, 20
2022/5/18, 39
2022/5/19, 50
2022/5/20, 40
2022/5/21, 31
2022/5/22, 20
2022/5/23, 20
2022/5/24, 26
2022/5/25, 32
2022/5/26, 25
2022/5/27, 17
2022/5/28, 26
2022/5/29, 28
2022/5/30, 34
2022/5/31, 41
2022/6/1, 18
2022/6/2, 30
2022/6/3, 29
2022/6/4, 33
2022/6/5, 33
2022/6/6, 52
2022/6/7, 20
2022/6/8, 37
2022/6/9, 24
2022/6/10, 48
2022/6/11, 43
2022/6/12, 34
2022/6/13, 43
2022/6/14, 66
2022/6/15, 96
2022/6/16, 36
2022/6/17, 19
2022/6/18, 16
2022/6/19, 26
2022/6/20, 32
2022/6/21, 50
2022/6/22, 31
2022/6/23, 27
2022/6/24, 40
2022/6/25, 49
2022/6/26, 29
2022/6/27, 32
2022/6/28, 35
2022/6/29, 47
2022/6/30, 46
2022/1/3, 39
2022/1/4, 35
2022/1/5, 35
2022/1/6, 26
2022/1/7, 43
2022/1/8, 39
2022/1/9, 29
2022/1/10, 30
2022/1/11, 40
2022/1/12, 35
2022/1/13, 46
2022/1/14, 21
2022/1/15, 22
2022/1/16, 45
2022/1/17, 44
2022/1/18, 35
2022/1/19, 31
2022/1/20, 24
2022/1/21, 38
2022/1/22, 35
2022/1/23, 18
2022/1/24, 35
2022/1/25, 35
2022/1/26, 48
2022/1/27, 37
2022/1/28, 24
2022/1/29, 40
2022/1/30, 53
2022/1/31, 76
2022/2/1, 58
2022/2/2, 33
2022/2/3, 21
2022/2/4, 29
2022/2/5, 53
2022/2/6, 53
2022/2/7, 46
2022/2/8, 59
2022/2/9, 28
2022/2/10, 16
2022/2/11, 19
2022/2/12, 18
2022/2/13, 27
2022/2/14, 42
2022/2/15, 60
2022/2/16, 56
2022/2/17, 49
2022/2/18, 30
2022/2/19, 27
2022/2/20, 27
2022/2/21, 52
2022/2/22, 30
2022/2/23, 25
2022/2/24, 31
2022/2/25, 27
2022/2/26, 43
2022/2/27, 41
2022/2/28, 41
2022/3/1, 39
2022/3/2, 48
2022/3/3, 19
2022/3/4, 25
2022/3/5, 41
2022/3/6, 26
2022/3/7, 27
2022/3/8, 26
2022/3/9, 42
2022/3/10, 29
2022/3/11, 29
2022/3/12, 22
2022/3/13, 27
2022/3/14, 36
2022/3/15, 52
2022/3/16, 63
2022/3/17, 58
2022/3/18, 34
2022/3/19, 16
2022/3/20, 30
2022/3/21, 53
2022/3/22, 43
2022/3/23, 34
2022/3/24, 13
2022/3/25, 17
2022/3/26, 16
2022/3/27, 20
2022/3/28, 20
2022/3/29, 28
2022/3/30, 33
2022/3/31, 18
2021/10/4, 23
2021/10/5, 25
2021/10/6, 47
2021/10/7, 36
2021/10/8, 37
2021/10/9, 40
2021/10/10, 52
2021/10/11, 42
2021/10/12, 20
2021/10/13, 53
2021/10/14, 25
2021/10/15, 22
2021/10/16, 24
2021/10/17, 24
2021/10/18, 41
2021/10/19, 34
2021/10/20, 35
2021/10/21, 18
2021/10/22, 18
2021/10/23, 23
2021/10/24, 35
2021/10/25, 17
2021/10/26, 18
2021/10/27, 27
2021/10/28, 29
2021/10/29, 21
2021/10/30, 20
2021/10/31, 29
2021/11/1, 20
2021/11/2, 21
2021/11/3, 27
2021/11/4, 41
2021/11/5, 44
2021/11/6, 44
2021/11/7, 46
2021/11/8, 45
2021/11/9, 54
2021/11/10, 47
2021/11/11, 42
2021/11/12, 13
2021/11/13, 15
2021/11/14, 25
2021/11/15, 25
2021/11/16, 50
2021/11/17, 43
2021/11/18, 19
2021/11/19, 21
2021/11/20, 52
2021/11/21, 55
2021/11/22, 17
2021/11/23, 32
2021/11/24, 32
2021/11/25, 31
2021/11/26, 21
2021/11/27, 31
2021/11/28, 25
2021/11/29, 32
2021/11/30, 33
2021/12/1, 49
2021/12/2, 21
2021/12/3, 31
2021/12/4, 32
2021/12/5, 23
2021/12/6, 24
2021/12/7, 28
2021/12/8, 39
2021/12/9, 53
2021/12/10, 53
2021/12/11, 25
2021/12/12, 14
2021/12/13, 33
2021/12/14, 63
2021/12/15, 39
2021/12/16, 55
2021/12/17, 25
2021/12/18, 30
2021/12/19, 27
2021/12/20, 41
2021/12/21, 33
2021/12/22, 27
2021/12/28, 18
2021/12/29, 32
2021/12/30, 34
2021/12/31, 48
2022/1/1, 26
2022/1/2, 20
2021/7/1, 25
2021/7/2, 18
2021/7/3, 35
2021/7/4, 56
2021/7/5, 55
2021/7/6, 58
2021/7/7, 51
2021/7/8, 19
2021/7/9, 19
2021/7/10, 29
2021/7/11, 32
2021/7/12, 35
2021/7/13, 42
2021/7/14, 33
2021/7/15, 23
2021/7/16, 39
2021/7/17, 30
2021/7/18, 29
2021/7/19, 43
2021/7/20, 62
2021/7/21, 59
2021/7/22, 69
2021/7/23, 82
2021/7/24, 68
2021/7/25, 50
2021/7/26, 46
2021/7/27, 43
2021/7/28, 50
2021/7/29, 43
2021/7/30, 19
2021/7/31, 34
2021/8/1, 62
2021/8/2, 35
2021/8/3, 45
2021/8/4, 60
2021/8/5, 53
2021/8/6, 42
2021/8/7, 58
2021/8/8, 54
2021/8/9, 36
2021/8/10, 42
2021/8/11, 37
2021/8/12, 34
2021/8/13, 22
2021/8/14, 24
2021/8/15, 32
2021/8/16, 33
2021/8/17, 42
2021/8/18, 41
2021/8/19, 41
2021/8/20, 50
2021/8/21, 39
2021/8/22, 15
2021/8/23, 36
2021/8/24, 41
2021/8/25, 30
2021/8/26, 33
2021/8/27, 43
2021/8/28, 48
2021/8/29, 41
2021/8/30, 32
2021/8/31, 39
2021/9/1, 24
2021/9/2, 28
2021/9/3, 35
2021/9/4, 35
2021/9/5, 24
2021/9/6, 24
2021/9/7, 40
2021/9/8, 15
2021/9/9, 16
2021/9/10, 25
2021/9/11, 34
2021/9/12, 42
2021/9/13, 48
2021/9/14, 31
2021/9/15, 16
2021/9/16, 34
2021/9/17, 40
2021/9/18, 24
2021/9/19, 39
2021/9/20, 18
2021/9/21, 12
2021/9/22, 9
2021/9/23, 15
2021/9/24, 18
2021/9/25, 12
2021/9/26, 15
2021/9/27, 35
2021/9/28, 17
2021/9/29, 42
2021/4/1, 22
2021/4/2, 25
2021/4/3, 50
2021/4/4, 101
2021/4/5, 56
2021/4/6, 47
2021/4/7, 44
2021/4/8, 24
2021/4/9, 18
2021/4/10, 42
2021/4/11, 24
2021/4/12, 18
2021/4/13, 19
2021/4/14, 19
2021/4/15, 17
2021/4/16, 25
2021/4/17, 22
2021/4/18, 40
2021/4/19, 27
2021/4/20, 14
2021/4/21, 34
2021/4/22, 42
2021/4/23, 36
2021/4/24, 53
2021/4/25, 13
2021/4/26, 25
2021/4/27, 34
2021/4/28, 35
2021/4/29, 35
2021/4/30, 20
2021/5/1, 24
2021/5/2, 20
2021/5/3, 34
2021/5/4, 20
2021/5/5, 15
2021/5/6, 19
2021/5/7, 26
2021/5/8, 12
2021/5/9, 17
2021/5/10, 15
2021/5/11, 11
2021/5/12, 19
2021/5/13, 31
2021/5/14, 31
2021/5/15, 44
2021/5/16, 41
2021/5/17, 41
2021/5/18, 40
2021/5/19, 37
2021/5/20, 35
2021/5/21, 33
2021/5/22, 42
2021/5/23, 21
2021/5/24, 47
2021/5/25, 39
2021/5/26, 17
2021/5/27, 15
2021/5/28, 13
2021/5/29, 11
2021/5/30, 34
2021/5/31, 39
2021/6/1, 45
2021/6/2, 41
2021/6/3, 43
2021/6/4, 26
2021/6/5, 33
2021/6/6, 32
2021/6/7, 27
2021/6/8, 44
2021/6/9, 42
2021/6/10, 36
